Country,Longitude,Latitude,Goldstein
SouthAfrica,24.0,-29.0,-2.0
SouthAfrica,27.8667,-26.2667,-5.0
SouthAfrica,28.0833,-26.2,-10.0
Sweden,15.0,62.0,-2.0
Switzerland,8.0,47.0,-5.0
Thailand,100.517,13.75,-4.0
TrinidadandTobago,-61.4167,10.45,-5.0
TrinidadandTobago,-61.4167,10.5167,-6.0
Tunisia,9.0,34.0,-2.0
Turkey,28.9647,41.0186,-6.0
Turkey,29.3333,40.5333,-6.0
Turkey,35.0,39.0,-2.0
Uganda,32.0,1.0,-10.0
Uganda,32.5656,0.315556,-2.0
Ukraine,32.0,49.0,-2.0
UnitedKingdom,-0.116667,51.5,-7.0
UnitedKingdom,-2.0,54.0,-5.0
UnitedKingdom,-4.45,57.3,-10.0
UnitedKingdom,0.083333,52.3333,-2.0
UnitedStates,-105.102,40.1672,-2.0
UnitedStates,-106.237,34.8375,-5.0
UnitedStates,-106.778,32.3123,-10.0
UnitedStates,-108.483,36.69,-2.0
UnitedStates,-108.577,32.9659,-10.0
UnitedStates,-109.027,32.6978,-10.0
UnitedStates,-111.388,33.7712,-7.0
UnitedStates,-111.867,40.7844,-4.0
UnitedStates,-112.048,33.0581,-10.0
UnitedStates,-112.667,32.9167,-10.0
UnitedStates,-115.084,32.9584,-4.0
UnitedStates,-115.245,36.108,-2.0
UnitedStates,-116.203,43.6135,-2.0
UnitedStates,-117.157,32.7153,-4.0
UnitedStates,-117.29,34.1083,-9.0
UnitedStates,-118.201,34.3667,-4.0
UnitedStates,-118.293,36.5785,-2.0
UnitedStates,-118.781,34.2694,-9.0
UnitedStates,-120.66,35.2828,-2.0
UnitedStates,-121.568,45.5379,-10.0
UnitedStates,-121.868,37.9833,-2.0
UnitedStates,-122.046,47.3927,-10.0
UnitedStates,-122.273,37.8716,-7.0
UnitedStates,-122.332,47.6062,-2.0
UnitedStates,-122.419,37.7749,-5.0
UnitedStates,-122.676,45.5235,-2.0
UnitedStates,-149.9,61.2181,-2.0
UnitedStates,-72.7622,41.5834,-8.0
UnitedStates,-72.8684,41.2762,-5.0
UnitedStates,-73.4085,41.577,-4.0
UnitedStates,-74.3401,42.7965,-2.0
